neighbourhood,average_price
Allerton,90.5945945945946
Arden Heights,67.25
Arrochar,118.25
Arverne,158.5151515151515
Astoria,116.01833568406207
Bath Beach,84.8
Battery Park City,182.19444444444446
Bay Ridge,105.37391304347825
Bay Terrace,118.8
"Bay Terrace, Staten Island",102.5
Baychester,78.0
Bayside,178.1290322580645
Bayswater,92.27272727272727
Bedford-Stuyvesant,106.09403889065986
Belle Harbor,166.4
Bellerose,80.5
Belmont,79.45
Bensonhurst,77.21311475409836
Bergen Beach,105.75
Boerum Hill,167.76190476190476
Borough Park,64.4
Breezy Point,195.0
Briarwood,101.24444444444444
Brighton Beach,87.28813559322033
Bronxdale,51.875
Brooklyn Heights,201.95967741935485
Brownsville,76.05454545454545
Bull's Head,48.0
Bushwick,85.26095925734914
Cambria Heights,83.4375
Canarsie,96.23703703703704
Carroll Gardens,178.8989898989899
Castle Hill,74.0
Castleton Corners,182.0
Chelsea,221.7944377267231
Chinatown,157.46417445482865
City Island,94.26666666666667
Civic Center,169.83333333333334
Claremont Village,68.9375
Clason Point,101.33333333333333
Clifton,84.92307692307692
Clinton Hill,176.15833333333333
Co-op City,77.5
Cobble Hill,193.4318181818182
College Point,93.0
Columbia St,133.57142857142858
Concord,60.583333333333336
Concourse,77.95121951219512
Concourse Village,73.16666666666667
Coney Island,125.6
Corona,56.932203389830505
Crown Heights,111.63083003952569
Cypress Hills,130.968
DUMBO,178.375
Ditmars Steinway,92.90283400809717
Dongan Hills,79.42857142857143
Douglaston,82.75
Downtown Brooklyn,152.28070175438597
Dyker Heights,95.0909090909091
East Elmhurst,81.22222222222223
East Flatbush,106.65727699530517
East Harlem,132.74655355249206
East Morrisania,94.44444444444444
East New York,87.1875
East Village,174.77635997313632
Eastchester,124.9
Edenwald,84.55555555555556
Edgemere,94.625
Elmhurst,80.14432989690722
Eltingville,63.0
Emerson Hill,69.0
Far Rockaway,72.5
Fieldston,75.08333333333333
Financial District,218.75049115913555
Flatbush,94.55443548387096
Flatiron District,291.48275862068965
Flatlands,97.93939393939394
Flushing,83.8374655647383
Fordham,62.06382978723404
Forest Hills,106.16666666666667
Fort Greene,153.8927680798005
Fort Hamilton,95.13333333333334
Fresh Meadows,99.46666666666667
Glendale,91.1304347826087
Gowanus,154.99519230769232
Gramercy,205.19391634980988
Graniteville,68.66666666666667
Grant City,60.5
Gravesend,73.18604651162791
Great Kills,100.6
Greenpoint,144.60231213872834
Greenwich Village,239.12091503267973
Grymes Hill,156.5
Harlem,117.1483666061706
Hell's Kitchen,186.2205497382199
Highbridge,72.04545454545455
Hollis,76.7
Holliswood,159.0
Howard Beach,113.86666666666666
Howland Hook,100.0
Huguenot,118.33333333333333
Hunts Point,51.8125
Inwood,84.8128078817734
Jackson Heights,80.3125
Jamaica,86.171875
Jamaica Estates,134.78571428571428
Jamaica Hills,136.71428571428572
Kensington,88.19285714285714
Kew Gardens,72.30434782608695
Kew Gardens Hills,95.33333333333333
Kingsbridge,78.20370370370371
Kips Bay,180.10385756676558
Laurelton,96.9375
Lighthouse Hill,157.5
Little Italy,176.8021978021978
Little Neck,42.333333333333336
Long Island City,117.37259615384616
Longwood,74.48936170212765
Lower East Side,177.43360433604337
Manhattan Beach,107.0
Marble Hill,94.0
Mariners Harbor,79.57142857142857
Maspeth,88.38271604938272
Melrose,82.71428571428571
Middle Village,108.85714285714286
Midland Beach,97.5
Midtown,267.58316430020284
Midwood,76.62962962962963
Mill Basin,179.75
Morningside Heights,113.9563492063492
Morris Heights,62.75
Morris Park,72.0
Morrisania,75.42857142857143
Mott Haven,80.71698113207547
Mount Eden,60.6
Mount Hope,80.27777777777777
Murray Hill,218.08360128617363
Navy Yard,151.91666666666666
Neponsit,274.6666666666667
New Brighton,101.8
New Dorp Beach,38.0
New Springville,69.16666666666667
NoHo,298.4516129032258
Nolita,233.70731707317074
North Riverdale,59.166666666666664
Norwood,68.125
Oakwood,81.2
Olinville,53.0
Ozone Park,86.7872340425532
Park Slope,169.85853658536584
Parkchester,68.5625
Pelham Bay,113.46153846153847
Pelham Gardens,89.04
Port Morris,70.47368421052632
Port Richmond,77.14285714285714
Prince's Bay,135.0
Prospect Heights,148.74918566775244
Prospect-Lefferts Gardens,106.9554565701559
Queens Village,78.40816326530613
Randall Manor,75.52941176470588
Red Hook,136.57575757575756
Rego Park,79.91111111111111
Richmond Hill,85.76543209876543
Richmondtown,78.0
Ridgewood,80.4375
Riverdale,226.85714285714286
Rockaway Beach,130.85106382978722
Roosevelt Island,114.10606060606061
Rosebank,111.85714285714286
Rosedale,77.27450980392157
Rossville,75.0
Schuylerville,69.23076923076923
Sea Gate,482.5
Sheepshead Bay,102.04761904761905
Shore Acres,105.0
Silver Lake,70.0
SoHo,281.30313588850174
Soundview,52.84615384615385
South Beach,89.25
South Ozone Park,85.05263157894737
South Slope,146.02857142857144
Springfield Gardens,93.35
Spuyten Duyvil,154.75
St. Albans,97.52173913043478
St. George,102.31428571428572
Stapleton,84.875
Stuyvesant Town,126.0
Sunnyside,84.13265306122449
Sunset Park,110.66037735849056
Theater District,236.18243243243242
Throgs Neck,94.52380952380952
Todt Hill,169.0
Tompkinsville,77.25
Tottenville,160.8
Tremont,49.9
Tribeca,460.3
Two Bridges,122.21666666666667
Unionport,162.0
University Heights,67.70588235294117
Upper East Side,167.3032028469751
Upper West Side,186.612685560054
Van Nest,58.55555555555556
Vinegar Hill,172.69230769230768
Wakefield,75.70731707317073
Washington Heights,86.98196948682386
West Brighton,66.25
West Farms,122.0
West Village,250.32622950819672
Westchester Square,127.44444444444444
Westerleigh,71.5
Whitestone,127.875
Williamsbridge,104.41176470588235
Williamsburg,139.85673624288424
Willowbrook,249.0
Windsor Terrace,130.6875
Woodhaven,62.72222222222222
Woodlawn,60.09090909090909
Woodside,89.8529411764706
